category,subcategory,indicator,indonesia_value,korea_value,unit,year,source_slide,
Country Overview,Demographics,Population,276.4,51.3,million,2021,Country Snapshot,
Country Overview,Demographics,Population aged 15-64,187.6,36.5,million,2021,Country Snapshot,
Country Overview,Demographics,Households,71.3,21.5,million,2021,Country Snapshot,
Country Overview,Demographics,Urban population share,57,81,percent,2021,Country Snapshot,
Country Overview,Economy,Total current GDP,1158.8,1806.7,billion USD,2021,Country Snapshot,
Country Overview,Economy,GDP per capita,4193,35215,USD,2021,Country Snapshot,
Country Overview,Economy,Consumer spending per capita,2382,15520,USD,2021,Country Snapshot,
Country Overview,Digital Infrastructure,Internet penetration,72.9,92.2,percent,2021,Country Snapshot,
Country Overview,Digital Infrastructure,Smartphone penetration,72.1,92.1,percent,2021,Country Snapshot,
Country Overview,Digital Infrastructure,Broadband subscriptions,40.1,44,per 100 inhabitants,2021,Country Snapshot,
Country Overview,Digital Infrastructure,Average connection speed,8.7,51.9,Mbits/s,2021,Country Snapshot,
Country Overview,Digital Infrastructure,Social media penetration,70,88.8,percent,2021,Country Snapshot,
eCommerce,Market Size,eCommerce users,159,38,million,2021,eCommerce Key Findings,
eCommerce,Market Size,eCommerce penetration,57,74,percent,2021,eCommerce Key Findings / Population shops online,
eCommerce,Market Size,eCommerce net sales (top 100 stores),4.5,25.2,billion USD,2021,Top 100 stores market volume,
eCommerce,Market Size,eCommerce net sales growth since 2018 (top 100),141,101,percent,2018-2021,Top 100 stores market volume,
eCommerce,Market Size,Retail eCommerce revenue,46.05,,,billion USD,2022,Retail eCommerce Revenue (Indonesia only - Korea data in KRW)
eCommerce,Market Size,eCommerce user growth forecast to 2025,39,12,percent,2021-2025,eCommerce users expected to grow,
eCommerce,Market Size,eCommerce users forecast 2025,221,43,million,2025,eCommerce users expected to grow,
eCommerce,Market Concentration,Top 5 stores share of top 100 net sales,72,73,percent,2020,Top 5 stores account for percentage,
eCommerce,Market Concentration,Top 5 stores net sales,2069.3,13500,million USD,2020,Top 5 stores account for percentage,
eCommerce,Market Concentration,Pure player share (by net sales),68,58,percent,2020,Online pure players,
eCommerce,Market Concentration,Pure player share (by number of stores),39,57,percent,2020,Online pure players,
eCommerce,Consumer Behavior,High household income shoppers,34,33,percent,,High household income,
eCommerce,Consumer Behavior,Research online before major purchase,50,55,percent,,Research online when planning,
eCommerce,Consumer Behavior,Top purchase category 1 (clothing),68,58,percent,,Main categories for online shopping,
eCommerce,Consumer Behavior,Top purchase category 2,51,48,percent,,Main categories (Shoes ID / Food&Drinks KR),
eCommerce,Consumer Behavior,Top interest category 1 (clothing),77,63,percent,,Top 3 interests of online shoppers,
eCommerce,Consumer Behavior,Top interest category 2 (shoes),66,55,percent,,Top 3 interests of online shoppers,
eCommerce,Consumer Behavior,Top interest category 3 (consumer electronics),64,48,percent,,Top 3 interests of online shoppers,
eCommerce,Consumer Behavior,Annual time on mobile shopping apps 2021,5559,,,million hours,2021,Annual time on mobile shopping apps (Indonesia only)
eCommerce,Store Performance,Top 100 stores YoY growth average,23,20,percent,2021,Top stores YoY growth,
eCommerce,Store Performance,Fashion active stores among top 100,49,73,percent,2020,Online stores active in Fashion,
eCommerce,Store Performance,Electronics & Media active stores among top 100,29,29,percent,2020,Online stores active in Electronics & Media,
eCommerce,Store Performance,Toys Hobby DIY active stores among top 100,37,51,percent,2020,Online stores active in Toys Hobby DIY,
eCommerce,Store Performance,Furniture & Appliances active stores among top 100,16,31,percent,2020,Stores active in Furniture & Appliances,
eCommerce,Store Performance,Food & Personal Care active stores among top 100,25,35,percent,2020,Stores active in Food & Personal Care,
