variable,iv
D10220000,13.226702
D10232000,10.251298
D1013A000,8.481194
D10110000,7.823899
D10133000,5.457518
D10142D0T,4.780708
C1L120170,3.079074
C1L120082,3.055383
C1M2B4W03,2.861452
C1L120032,2.603639
D10142D0N,2.477453
C1L120017,2.47496
C1L120169,2.39746
C1L120084,2.37734
C1M2B5W03,1.55542
C1L120251,1.544939
C1L120179,1.533509
C1L120242,1.513204
C1L120292,1.502635
C1L120237,1.38549
D1013A00T,1.263485
L102100CP,1.132027
L1021009P,1.112601
L10216000,1.101386
L1021006P,1.087806
L1021003P,1.073076
L1021001P,1.062248
L10220000,1.054545
L10210000,1.05172
L10173000,1.018465
C1L120250,0.896415
C1L120003,0.882568
AL012G019,0.649197
L10220800,0.610153
L10210800,0.606589
L90210300,0.48461
C1L120163,0.456077
L90216300,0.440849
C1Z001373,0.423964
C1L120004,0.417305
C1Z001386,0.391507
AL012G005,0.360479
C1L120168,0.349265
C1L120161,0.31131
C18210000,0.296263
U81203010,0.288206
U81201010,0.283321
U81204010,0.267223
L90210200,0.266494
L90216200,0.265556
L10210006,0.263151
U81202010,0.262654
L1021000C,0.229944
U81306010,0.217648
U81302010,0.213827
C1L120167,0.196345
AS120G001,0.120287
L10217000,0.107257
L10231000,0.082321
L1021000F,0.074926
U81305010,0.068722
C1L120041,0.060029
U81301010,0.060011
C18233004,0.059266
C18233005,0.059019
C1M210000,0.058076
C18233002,0.055566
C18233003,0.054804
L90216100,0.035692
AL012G011,0.025561
U81102010,0.02051
L1Z001044,0.010401
