variable,n_bins,jsd,sim_jsd
C1L120170,4,0.043038,0.956962
C1L120082,4,0.043059,0.956941
C1M2B4W03,5,0.03805,0.96195
C1L120032,4,0.043509,0.956491
C1L120017,4,0.043992,0.956008
C1L120169,4,0.043,0.957
C1L120084,4,0.042997,0.957003
C1M2B5W03,3,0.028051,0.971949
C1L120251,6,0.024354,0.975646
C1L120179,5,0.026544,0.973456
C1L120242,5,0.024997,0.975003
C1L120292,5,0.023919,0.976081
C1L120237,5,0.025054,0.974946
L102100CP,3,0.038176,0.961824
L1021009P,3,0.037945,0.962055
L10216000,3,0.043095,0.956905
L1021006P,3,0.037438,0.962562
L1021003P,3,0.037306,0.962694
L1021001P,3,0.037158,0.962842
L10220000,3,0.03747,0.96253
L10210000,3,0.036996,0.963004
L10173000,3,0.027627,0.972373
C1L120250,2,0.02999,0.97001
C1L120003,3,0.028302,0.971698
AL012G019,4,0.10669,0.89331
L10220800,2,0.120457,0.879543
L10210800,2,0.119854,0.880146
L90210300,2,0.081681,0.918319
C1L120163,3,0.023278,0.976722
L90216300,2,0.089634,0.910366
C1Z001373,5,0.057325,0.942675
C1L120004,4,0.018395,0.981605
C1Z001386,4,0.035386,0.964614
AL012G005,4,0.036277,0.963723
C1L120168,3,0.019173,0.980827
C1L120161,6,0.016186,0.983814
C18210000,5,0.037159,0.962841
U81203010,4,0.020653,0.979347
U81201010,4,0.02078,0.97922
U81204010,5,0.021895,0.978105
L90210200,2,0.055133,0.944867
L90216200,2,0.054915,0.945085
L10210006,2,0.021089,0.978911
U81202010,4,0.019549,0.980451
L1021000C,2,0.020477,0.979523
U81306010,5,0.329035,0.670965
U81302010,5,0.02052,0.97948
C1L120167,5,0.016008,0.983992
AS120G001,4,0.01115,0.98885
L10217000,3,0.021982,0.978018
L10231000,4,0.009319,0.990681
L1021000F,4,0.019856,0.980144
U81305010,5,0.091739,0.908261
C1L120041,7,0.010951,0.989049
U81301010,4,0.012741,0.987259
C18233004,4,0.009913,0.990087
C18233005,4,0.009473,0.990527
C1M210000,4,0.009721,0.990279
C18233002,4,0.009568,0.990432
C18233003,4,0.009551,0.990449
L90216100,3,0.009551,0.990449
AL012G011,4,0.37149,0.62851
U81102010,4,0.008628,0.991372
L1Z001044,5,0.00363,0.99637
