bin,points,points_id,variable,group,iv,iv_weight
missing,-48.0,-189,C1M2B4W03,Card,2.8615,0.4374
"[-inf,0.0)",98.0,386,C1M2B4W03,Card,2.8615,0.4374
"[0.0,1000.0)",-21.0,-83,C1M2B4W03,Card,2.8615,0.4374
"[1000.0,10000.0)",88.0,346,C1M2B4W03,Card,2.8615,0.4374
"[10000.0,inf)",62.0,244,C1M2B4W03,Card,2.8615,0.4374
"[-inf,200.0)",-4.0,-9,C1M2B5W03,Card,1.5554,0.2377
"[200.0,3600.0)",41.0,88,C1M2B5W03,Card,1.5554,0.2377
"[3600.0,inf)",27.0,58,C1M2B5W03,Card,1.5554,0.2377
missing,-67.0,-60,AL012G019,Alternative,0.6492,0.0992
"[-inf,2.0)",33.0,29,AL012G019,Alternative,0.6492,0.0992
"[2.0,3.0)",-0.0,0,AL012G019,Alternative,0.6492,0.0992
"[3.0,inf)",-44.0,-39,AL012G019,Alternative,0.6492,0.0992
missing,-42.0,-24,C1Z001373,Card,0.424,0.0648
"[-inf,0.0)",11.0,6,C1Z001373,Card,0.424,0.0648
"[0.0,2000.0)",-25.0,-15,C1Z001373,Card,0.424,0.0648
"[2000.0,18000.0)",10.0,6,C1Z001373,Card,0.424,0.0648
"[18000.0,inf)",23.0,13,C1Z001373,Card,0.424,0.0648
"[-inf,2.0)",21.0,10,AL012G005,Alternative,0.3605,0.0551
"[2.0,3.0)",0.0,0,AL012G005,Alternative,0.3605,0.0551
"[3.0,4.0)",-12.0,-6,AL012G005,Alternative,0.3605,0.0551
"[4.0,inf)",-24.0,-12,AL012G005,Alternative,0.3605,0.0551
"[-inf,100000.0)",-2.0,-1,U81201010,Asset,0.2833,0.0433
"[100000.0,220000.0)",-0.0,0,U81201010,Asset,0.2833,0.0433
"[220000.0,640000.0)",2.0,1,U81201010,Asset,0.2833,0.0433
"[640000.0,inf)",5.0,2,U81201010,Asset,0.2833,0.0433
"[-inf,100000.0)",-2.0,-1,U81202010,Asset,0.2627,0.0402
"[100000.0,220000.0)",-0.0,0,U81202010,Asset,0.2627,0.0402
"[220000.0,600000.0)",2.0,1,U81202010,Asset,0.2627,0.0402
"[600000.0,inf)",5.0,2,U81202010,Asset,0.2627,0.0402
missing,-1.0,0,AS120G001,Alternative,0.1203,0.0184
"[-inf,3.0)",0.0,0,AS120G001,Alternative,0.1203,0.0184
"[3.0,4.0)",2.0,0,AS120G001,Alternative,0.1203,0.0184
"[4.0,inf)",1.0,0,AS120G001,Alternative,0.1203,0.0184
missing,-6.0,0,AL012G011,Alternative,0.0256,0.0039
"[-inf,2.0)",0.0,0,AL012G011,Alternative,0.0256,0.0039
"[2.0,3.0)",-0.0,0,AL012G011,Alternative,0.0256,0.0039
"[3.0,inf)",-1.0,0,AL012G011,Alternative,0.0256,0.0039
