threshold,approval_pct,bad_pct_approved,bad_pct_declined,lift,ks_like
400,97.42,0.125,15.2434,122.0,0.7414
425,96.77,0.1035,12.8299,124.0,0.777
450,96.08,0.0858,11.0089,128.3,0.8046
475,95.29,0.0672,9.5637,142.3,0.8327
500,94.55,0.0492,8.5798,174.3,0.8594
525,93.57,0.0348,7.4971,215.2,0.8769
550,92.24,0.0241,6.3429,262.8,0.8837
575,90.03,0.0172,5.0069,291.8,0.8748
600,86.15,0.0109,3.6466,335.1,0.8476
625,83.1,0.0088,3.0009,339.3,0.821
650,79.23,0.0078,2.4475,313.9,0.7844
675,72.39,0.006,1.8471,306.1,0.7191
700,65.06,0.0049,1.463,297.8,0.6477
