w1,w2,w3,cmvts
0.1,0.1,0.8,0.9434
0.1,0.2,0.7,0.9375
0.1,0.3,0.6,0.9316
0.1,0.4,0.5,0.9257
0.1,0.5,0.4,0.9198
0.1,0.6,0.3,0.9139
0.1,0.7,0.2,0.908
0.1,0.8,0.1,0.9021
0.2,0.1,0.7,0.9441
0.2,0.2,0.6,0.9382
0.2,0.3,0.5,0.9323
0.2,0.4,0.4,0.9264
0.2,0.5,0.3,0.9205
0.2,0.6,0.2,0.9146
0.2,0.7,0.1,0.9088
0.3,0.1,0.6,0.9448
0.3,0.2,0.5,0.9389
0.3,0.3,0.4,0.9331
0.3,0.4,0.3,0.9272
0.3,0.5,0.2,0.9213
0.3,0.6,0.1,0.9154
0.4,0.1,0.5,0.9456
0.4,0.2,0.4,0.9397
0.4,0.3,0.3,0.9338
0.4,0.4,0.2,0.9279
0.4,0.5,0.1,0.922
0.5,0.1,0.4,0.9463
0.5,0.2,0.3,0.9404
0.5,0.3,0.2,0.9345
0.5,0.4,0.1,0.9286
0.6,0.1,0.3,0.9471
0.6,0.2,0.2,0.9412
0.6,0.3,0.1,0.9353
0.7,0.1,0.2,0.9478
0.7,0.2,0.1,0.9419
0.8,0.1,0.1,0.9485
