Category,Indicator,Indonesia (%),Korea (%),Gap,Unit
Country Overview,Social media penetration,70.0,88.8,18.8,percent
Country Overview,Internet penetration,72.9,92.2,19.3,percent
Country Overview,Smartphone penetration,72.1,92.1,20.0,percent
Country Overview,Urban population share,57.0,81.0,24.0,percent
Economics,Monthly net interest margin (NIM) - commercial banks,4.62,1.45,-3.17,percent
Economics,Household loan YoY growth rate (recent trough),-2.4,1.2,3.6,percent
Health,Top reason for organic purchase - healthier/nutritious,76.0,52.6,-23.4,percent
Health,Often buy organic food,32.0,16.23,-15.77,percent
Health,Top reason - more ethical/fair,33.0,19.26,-13.74,percent
Health,Top reason - better for environment,49.0,41.39,-7.61,percent
Health,Never buy organic food,2.0,5.17,3.17,percent
Health,Rarely buy organic food,17.0,20.86,3.86,percent
Health,Top reason - trust safety standards,21.0,29.14,8.14,percent
Health,Sometimes buy organic food,32.0,50.6,18.6,percent
Tourism,Share intending to travel abroad,27.0,80.0,53.0,percent
eCommerce,eCommerce net sales growth since 2018 (top 100),141.0,101.0,-40.0,percent
eCommerce,eCommerce user growth forecast to 2025,39.0,12.0,-27.0,percent
eCommerce,Top interest category 3 (consumer electronics),64.0,48.0,-16.0,percent
eCommerce,Top interest category 1 (clothing),77.0,63.0,-14.0,percent
eCommerce,Top interest category 2 (shoes),66.0,55.0,-11.0,percent
eCommerce,Pure player share (by net sales),68.0,58.0,-10.0,percent
eCommerce,Top purchase category 1 (clothing),68.0,58.0,-10.0,percent
eCommerce,Top purchase category 2,51.0,48.0,-3.0,percent
eCommerce,Top 100 stores YoY growth average,23.0,20.0,-3.0,percent
eCommerce,High household income shoppers,34.0,33.0,-1.0,percent
eCommerce,Electronics & Media active stores among top 100,29.0,29.0,0.0,percent
eCommerce,Top 5 stores share of top 100 net sales,72.0,73.0,1.0,percent
eCommerce,Research online before major purchase,50.0,55.0,5.0,percent
eCommerce,Food & Personal Care active stores among top 100,25.0,35.0,10.0,percent
eCommerce,Toys Hobby DIY active stores among top 100,37.0,51.0,14.0,percent
eCommerce,Furniture & Appliances active stores among top 100,16.0,31.0,15.0,percent
eCommerce,eCommerce penetration,57.0,74.0,17.0,percent
eCommerce,Pure player share (by number of stores),39.0,57.0,18.0,percent
eCommerce,Fashion active stores among top 100,49.0,73.0,24.0,percent
